"logFC","logCPM","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-1.06654271134621,1.22554479379256,2.29590416233681e-05,0.000525725465060989,"12021",NA,NA
-1.21203887520479,1.56067522910073,3.99803441840276e-06,0.000109614246374529,"12042",NA,NA
-2.0836855163146,1.31923768804729,0.000725364890531781,0.00992036813404262,"12045",NA,NA
0.762754760346422,7.72242950432484,0.000441258900776099,0.00660451961513185,"12114",NA,NA
-1.6053589460349,-1.96437700676449,2.15659249184221e-05,0.000497292491348569,"12137",NA,NA
-1.91835118520959,-1.93694761180372,0.000153454162136306,0.00273058141448427,"12160",NA,NA
-1.46414621920597,-2.1900971859552,0.00508465460658825,0.0447192843938271,"12173",NA,NA
-1.44519641316398,2.54166315895011,0.000346390802572258,0.00541000309180448,"12198",NA,NA
-0.825553884345135,5.43225918492214,8.10572505110951e-06,0.000210090889430674,"12228",NA,NA
-0.901148769586505,0.0518561453858078,0.00272051104768999,0.0278594872990614,"12261",NA,NA
-0.455566975418201,4.19882781277463,0.00457222370474716,0.0413186434021763,"12263",NA,NA
0.756329046041318,7.7722137169944,0.000441902351232503,0.00660554945047805,"12294",NA,NA
0.662097780209482,2.76968485123776,0.00573015486700798,0.0486111661964995,"12314",NA,NA
-0.920485523214561,1.79227553888944,0.000920247400263685,0.012068732305797,"12317",NA,NA
-1.98279278512424,3.25931792902766,8.26046639539734e-09,4.17380488857549e-07,"12319",NA,NA
-2.22435077520275,1.25822238287094,8.10815762646672e-08,3.25316830423159e-06,"12320",NA,NA
0.436506228464677,6.99017267405286,0.00147756813053391,0.0174919110818612,"12365",NA,NA
-1.83993086941201,1.36104879184623,3.79467140983805e-05,0.00081838176090222,"12413",NA,NA
0.56881338315878,7.29882442311171,0.000723334554041808,0.00991028688761691,"12417",NA,NA
0.427940661608922,7.86467943399713,0.00204968667951158,0.022439188934272,"12420",NA,NA
-1.39875316760887,-0.908009029093186,0.00025292458045979,0.00416230215087371,"12423",NA,NA
